PassengerId,Survived,Adult_No,Adult_Yes,Age,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_Z,Embarked_C,Embarked_Q,Embarked_S,FamilySize,Fare,IsMale,IsMother,Pclass_1,Pclass_2,Pclass_3,Title_lady,Title_master,Title_miss,Title_mr,Title_mrs,Title_officer,Title_sir
1,0,0,1,22.0,0,0,0,0,0,0,0,1,0,0,1,2,7.25,1,0,0,0,1,0,0,0,1,0,0,0
2,1,0,1,38.0,0,0,1,0,0,0,0,0,1,0,0,2,71.2833,0,0,1,0,0,0,0,0,0,1,0,0
3,1,0,1,26.0,0,0,0,0,0,0,0,1,0,0,1,1,7.925,0,0,0,0,1,0,0,1,0,0,0,0
4,1,0,1,35.0,0,0,1,0,0,0,0,0,0,0,1,2,53.1,0,0,1,0,0,0,0,0,0,1,0,0
5,0,0,1,35.0,0,0,0,0,0,0,0,1,0,0,1,1,8.05,1,0,0,0,1,0,0,0,1,0,0,0
6,0,0,1,29.0,0,0,0,0,0,0,0,1,0,1,0,1,8.4583,1,0,0,0,1,0,0,0,1,0,0,0
7,0,0,1,54.0,0,0,0,0,1,0,0,0,0,0,1,1,51.8625,1,0,1,0,0,0,0,0,1,0,0,0
8,0,1,0,2.0,0,0,0,0,0,0,0,1,0,0,1,5,21.075,1,0,0,0,1,0,1,0,0,0,0,0
9,1,0,1,27.0,0,0,0,0,0,0,0,1,0,0,1,3,11.1333,0,1,0,0,1,0,0,0,0,1,0,0
10,1,1,0,14.0,0,0,0,0,0,0,0,1,1,0,0,2,30.0708,0,0,0,1,0,0,0,0,0,1,0,0
11,1,1,0,4.0,0,0,0,0,0,0,1,0,0,0,1,3,16.7,0,0,0,0,1,0,0,1,0,0,0,0
12,1,0,1,58.0,0,0,1,0,0,0,0,0,0,0,1,1,26.55,0,0,1,0,0,0,0,1,0,0,0,0
13,0,0,1,20.0,0,0,0,0,0,0,0,1,0,0,1,1,8.05,1,0,0,0,1,0,0,0,1,0,0,0
14,0,0,1,39.0,0,0,0,0,0,0,0,1,0,0,1,7,31.275,1,0,0,0,1,0,0,0,1,0,0,0
15,0,1,0,14.0,0,0,0,0,0,0,0,1,0,0,1,1,7.8542,0,0,0,0,1,0,0,1,0,0,0,0
16,1,0,1,55.0,0,0,0,0,0,0,0,1,0,0,1,1,16.0,0,0,0,1,0,0,0,0,0,1,0,0
17,0,1,0,2.0,0,0,0,0,0,0,0,1,0,1,0,6,29.125,1,0,0,0,1,0,1,0,0,0,0,0
18,1,0,1,29.0,0,0,0,0,0,0,0,1,0,0,1,1,13.0,1,0,0,1,0,0,0,0,1,0,0,0
19,0,0,1,31.0,0,0,0,0,0,0,0,1,0,0,1,2,18.0,0,0,0,0,1,0,0,0,0,1,0,0
20,1,0,1,35.0,0,0,0,0,0,0,0,1,1,0,0,1,7.225,0,0,0,0,1,0,0,0,0,1,0,0
21,0,0,1,35.0,0,0,0,0,0,0,0,1,0,0,1,1,26.0,1,0,0,1,0,0,0,0,1,0,0,0
22,1,0,1,34.0,0,0,0,1,0,0,0,0,0,0,1,1,13.0,1,0,0,1,0,0,0,0,1,0,0,0
23,1,1,0,15.0,0,0,0,0,0,0,0,1,0,1,0,1,8.0292,0,0,0,0,1,0,0,1,0,0,0,0
24,1,0,1,28.0,1,0,0,0,0,0,0,0,0,0,1,1,35.5,1,0,1,0,0,0,0,0,1,0,0,0
25,0,1,0,8.0,0,0,0,0,0,0,0,1,0,0,1,5,21.075,0,0,0,0,1,0,0,1,0,0,0,0
26,1,0,1,38.0,0,0,0,0,0,0,0,1,0,0,1,7,31.3875,0,1,0,0,1,0,0,0,0,1,0,0
27,0,0,1,29.0,0,0,0,0,0,0,0,1,1,0,0,1,7.225,1,0,0,0,1,0,0,0,1,0,0,0
28,0,0,1,19.0,0,0,1,0,0,0,0,0,0,0,1,6,263.0,1,0,1,0,0,0,0,0,1,0,0,0
29,1,0,1,22.0,0,0,0,0,0,0,0,1,0,1,0,1,7.8792,0,0,0,0,1,0,0,1,0,0,0,0
30,0,0,1,29.0,0,0,0,0,0,0,0,1,0,0,1,1,7.8958,1,0,0,0,1,0,0,0,1,0,0,0
31,0,0,1,40.0,0,0,0,0,0,0,0,1,1,0,0,1,27.7208,1,0,1,0,0,0,0,0,0,0,0,1
32,1,0,1,35.0,0,1,0,0,0,0,0,0,1,0,0,2,146.5208,0,0,1,0,0,0,0,0,0,1,0,0
33,1,0,1,22.0,0,0,0,0,0,0,0,1,0,1,0,1,7.75,0,0,0,0,1,0,0,1,0,0,0,0
34,0,0,1,66.0,0,0,0,0,0,0,0,1,0,0,1,1,10.5,1,0,0,1,0,0,0,0,1,0,0,0
35,0,0,1,28.0,0,0,0,0,0,0,0,1,1,0,0,2,82.1708,1,0,1,0,0,0,0,0,1,0,0,0
36,0,0,1,42.0,0,0,0,0,0,0,0,1,0,0,1,2,52.0,1,0,1,0,0,0,0,0,1,0,0,0
37,1,0,1,29.0,0,0,0,0,0,0,0,1,1,0,0,1,7.2292,1,0,0,0,1,0,0,0,1,0,0,0
38,0,0,1,21.0,0,0,0,0,0,0,0,1,0,0,1,1,8.05,1,0,0,0,1,0,0,0,1,0,0,0
39,0,0,1,18.0,0,0,0,0,0,0,0,1,0,0,1,3,18.0,0,0,0,0,1,0,0,1,0,0,0,0
40,1,1,0,14.0,0,0,0,0,0,0,0,1,1,0,0,2,11.2417,0,0,0,0,1,0,0,1,0,0,0,0
41,0,0,1,40.0,0,0,0,0,0,0,0,1,0,0,1,2,9.475,0,0,0,0,1,0,0,0,0,1,0,0
42,0,0,1,27.0,0,0,0,0,0,0,0,1,0,0,1,2,21.0,0,0,0,1,0,0,0,0,0,1,0,0
43,0,0,1,29.0,0,0,0,0,0,0,0,1,1,0,0,1,7.8958,1,0,0,0,1,0,0,0,1,0,0,0
44,1,1,0,3.0,0,0,0,0,0,0,0,1,1,0,0,4,41.5792,0,0,0,1,0,0,0,1,0,0,0,0
45,1,0,1,19.0,0,0,0,0,0,0,0,1,0,1,0,1,7.8792,0,0,0,0,1,0,0,1,0,0,0,0
46,0,0,1,29.0,0,0,0,0,0,0,0,1,0,0,1,1,8.05,1,0,0,0,1,0,0,0,1,0,0,0
47,0,0,1,29.0,0,0,0,0,0,0,0,1,0,1,0,2,15.5,1,0,0,0,1,0,0,0,1,0,0,0
48,1,0,1,22.0,0,0,0,0,0,0,0,1,0,1,0,1,7.75,0,0,0,0,1,0,0,1,0,0,0,0
49,0,0,1,29.0,0,0,0,0,0,0,0,1,1,0,0,3,21.6792,1,0,0,0,1,0,0,0,1,0,0,0
50,0,0,1,18.0,0,0,0,0,0,0,0,1,0,0,1,2,17.8,0,0,0,0,1,0,0,0,0,1,0,0
51,0,1,0,7.0,0,0,0,0,0,0,0,1,0,0,1,6,39.6875,1,0,0,0,1,0,1,0,0,0,0,0
52,0,0,1,21.0,0,0,0,0,0,0,0,1,0,0,1,1,7.8,1,0,0,0,1,0,0,0,1,0,0,0
53,1,0,1,49.0,0,0,0,1,0,0,0,0,1,0,0,2,76.7292,0,0,1,0,0,0,0,0,0,1,0,0
54,1,0,1,29.0,0,0,0,0,0,0,0,1,0,0,1,2,26.0,0,0,0,1,0,0,0,0,0,1,0,0
55,0,0,1,65.0,0,1,0,0,0,0,0,0,1,0,0,2,61.9792,1,0,1,0,0,0,0,0,1,0,0,0
56,1,0,1,29.0,0,0,1,0,0,0,0,0,0,0,1,1,35.5,1,0,1,0,0,0,0,0,1,0,0,0
57,1,0,1,21.0,0,0,0,0,0,0,0,1,0,0,1,1,10.5,0,0,0,1,0,0,0,1,0,0,0,0
58,0,0,1,28.5,0,0,0,0,0,0,0,1,1,0,0,1,7.2292,1,0,0,0,1,0,0,0,1,0,0,0
59,1,1,0,5.0,0,0,0,0,0,0,0,1,0,0,1,4,27.75,0,0,0,1,0,0,0,1,0,0,0,0
60,0,1,0,11.0,0,0,0,0,0,0,0,1,0,0,1,8,46.9,1,0,0,0,1,0,1,0,0,0,0,0
61,0,0,1,22.0,0,0,0,0,0,0,0,1,1,0,0,1,7.2292,1,0,0,0,1,0,0,0,1,0,0,0
62,1,0,1,38.0,0,1,0,0,0,0,0,0,0,0,1,1,80.0,0,0,1,0,0,0,0,1,0,0,0,0
63,0,0,1,45.0,0,0,1,0,0,0,0,0,0,0,1,2,83.475,1,0,1,0,0,0,0,0,1,0,0,0
64,0,1,0,4.0,0,0,0,0,0,0,0,1,0,0,1,6,27.9,1,0,0,0,1,0,1,0,0,0,0,0
65,0,0,1,29.0,0,0,0,0,0,0,0,1,1,0,0,1,27.7208,1,0,1,0,0,0,0,0,1,0,0,0
66,1,1,0,4.0,0,0,0,0,0,0,0,1,1,0,0,3,15.2458,1,0,0,0,1,0,1,0,0,0,0,0
67,1,0,1,29.0,0,0,0,0,0,1,0,0,0,0,1,1,10.5,0,0,0,1,0,0,0,0,0,1,0,0
68,0,0,1,19.0,0,0,0,0,0,0,0,1,0,0,1,1,8.1583,1,0,0,0,1,0,0,0,1,0,0,0
69,1,1,0,17.0,0,0,0,0,0,0,0,1,0,0,1,7,7.925,0,0,0,0,1,0,0,1,0,0,0,0
70,0,0,1,26.0,0,0,0,0,0,0,0,1,0,0,1,3,8.6625,1,0,0,0,1,0,0,0,1,0,0,0
71,0,0,1,32.0,0,0,0,0,0,0,0,1,0,0,1,1,10.5,1,0,0,1,0,0,0,0,1,0,0,0
72,0,1,0,16.0,0,0,0,0,0,0,0,1,0,0,1,8,46.9,0,0,0,0,1,0,0,1,0,0,0,0
73,0,0,1,21.0,0,0,0,0,0,0,0,1,0,0,1,1,73.5,1,0,0,1,0,0,0,0,1,0,0,0
74,0,0,1,26.0,0,0,0,0,0,0,0,1,1,0,0,2,14.4542,1,0,0,0,1,0,0,0,1,0,0,0
75,1,0,1,32.0,0,0,0,0,0,0,0,1,0,0,1,1,56.4958,1,0,0,0,1,0,0,0,1,0,0,0
76,0,0,1,25.0,0,0,0,0,0,1,0,0,0,0,1,1,7.65,1,0,0,0,1,0,0,0,1,0,0,0
77,0,0,1,29.0,0,0,0,0,0,0,0,1,0,0,1,1,7.8958,1,0,0,0,1,0,0,0,1,0,0,0
78,0,0,1,29.0,0,0,0,0,0,0,0,1,0,0,1,1,8.05,1,0,0,0,1,0,0,0,1,0,0,0
79,1,1,0,0.83,0,0,0,0,0,0,0,1,0,0,1,3,29.0,1,0,0,1,0,0,1,0,0,0,0,0
80,1,0,1,30.0,0,0,0,0,0,0,0,1,0,0,1,1,12.475,0,0,0,0,1,0,0,1,0,0,0,0
81,0,0,1,22.0,0,0,0,0,0,0,0,1,0,0,1,1,9.0,1,0,0,0,1,0,0,0,1,0,0,0
82,1,0,1,29.0,0,0,0,0,0,0,0,1,0,0,1,1,9.5,1,0,0,0,1,0,0,0,1,0,0,0
83,1,0,1,22.0,0,0,0,0,0,0,0,1,0,1,0,1,7.7875,0,0,0,0,1,0,0,1,0,0,0,0
84,0,0,1,28.0,0,0,0,0,0,0,0,1,0,0,1,1,47.1,1,0,1,0,0,0,0,0,1,0,0,0
85,1,1,0,17.0,0,0,0,0,0,0,0,1,0,0,1,1,10.5,0,0,0,1,0,0,0,1,0,0,0,0
86,1,0,1,33.0,0,0,0,0,0,0,0,1,0,0,1,4,15.85,0,0,0,0,1,0,0,0,0,1,0,0
87,0,1,0,16.0,0,0,0,0,0,0,0,1,0,0,1,5,34.375,1,0,0,0,1,0,0,0,1,0,0,0
88,0,0,1,29.0,0,0,0,0,0,0,0,1,0,0,1,1,8.05,1,0,0,0,1,0,0,0,1,0,0,0
89,1,0,1,23.0,0,0,1,0,0,0,0,0,0,0,1,6,263.0,0,0,1,0,0,0,0,1,0,0,0,0
90,0,0,1,24.0,0,0,0,0,0,0,0,1,0,0,1,1,8.05,1,0,0,0,1,0,0,0,1,0,0,0
91,0,0,1,29.0,0,0,0,0,0,0,0,1,0,0,1,1,8.05,1,0,0,0,1,0,0,0,1,0,0,0
92,0,0,1,20.0,0,0,0,0,0,0,0,1,0,0,1,1,7.8542,1,0,0,0,1,0,0,0,1,0,0,0
93,0,0,1,46.0,0,0,0,0,1,0,0,0,0,0,1,2,61.175,1,0,1,0,0,0,0,0,1,0,0,0
94,0,0,1,26.0,0,0,0,0,0,0,0,1,0,0,1,4,20.575,1,0,0,0,1,0,0,0,1,0,0,0
95,0,0,1,59.0,0,0,0,0,0,0,0,1,0,0,1,1,7.25,1,0,0,0,1,0,0,0,1,0,0,0
96,0,0,1,29.0,0,0,0,0,0,0,0,1,0,0,1,1,8.05,1,0,0,0,1,0,0,0,1,0,0,0
97,0,0,1,71.0,1,0,0,0,0,0,0,0,1,0,0,1,34.6542,1,0,1,0,0,0,0,0,1,0,0,0
98,1,0,1,23.0,0,0,0,1,0,0,0,0,1,0,0,2,63.3583,1,0,1,0,0,0,0,0,1,0,0,0
99,1,0,1,34.0,0,0,0,0,0,0,0,1,0,0,1,2,23.0,0,1,0,1,0,0,0,0,0,1,0,0
100,0,0,1,34.0,0,0,0,0,0,0,0,1,0,0,1,2,26.0,1,0,0,1,0,0,0,0,1,0,0,0
101,0,0,1,28.0,0,0,0,0,0,0,0,1,0,0,1,1,7.8958,0,0,0,0,1,0,0,1,0,0,0,0
102,0,0,1,29.0,0,0,0,0,0,0,0,1,0,0,1,1,7.8958,1,0,0,0,1,0,0,0,1,0,0,0
