Location,Date,Division,Grade,Paper_Cost,Pounds,Tons,Units,Check_Num,Receipt,Invoice,Notes,Filename
Fort Gillem,2017-11-23,11,[ 11 ]  OCC,2779.63,38700,19.35,0,192811,146787,2593342,,
Fort Gillem,2017-11-23,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-13.17,0,0.0,0,192811,146787,2593342,,
Fort Gillem,2017-12-10,11,[ 11 ]  OCC,2325.69,32380,16.19,0,192811,146331,2615164,,
Fort Gillem,2017-12-10,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-77.2,0,0.0,0,192811,146331,2615164,,
Fort Gillem,2017-12-21,11,[ 11 ]  OCC,2917.53,40620,20.31,0,192811,146344,2635562,,
Fort Gillem,2017-12-24,11,[ 11 ]  OCC,2700.62,37600,18.8,0,192811,146341,2635554,,
Fort Gillem,2017-12-24,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-24.63,0,0.0,0,192811,146341,2635554,,
Fort Gillem,2017-12-24,11,[ 11 ]  OCC,2696.31,37540,18.77,0,192811,146343,2635559,,
Fort Gillem,2017-12-24,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-25.25,0,0.0,0,192811,146343,2635559,,
Fort Gillem,2017-12-25,11,[ 11 ]  OCC,2789.68,38840,19.42,0,192811,146359,2644788,,
Fort Gillem,2017-12-25,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-11.91,0,0.0,0,192811,146359,2644788,,
Fort Gillem,2017-12-26,11,[ 11 ]  OCC,2729.35,38000,19.0,0,192811,146342,2635555,,
Fort Gillem,2017-12-26,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-20.53,0,0.0,0,192811,146342,2635555,,
Fort Gillem,2017-12-26,11,[ 11 ]  OCC,2660.4,37040,18.52,0,192811,146357,2644785,,
Fort Gillem,2017-12-26,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-30.38,0,0.0,0,192811,146357,2644785,,
Fort Gillem,2017-12-26,11,[ 11 ]  OCC,2679.07,37300,18.65,0,192811,146358,2644786,,
Fort Gillem,2017-12-26,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-27.71,0,0.0,0,192811,146358,2644786,,
Fort Gillem,2017-12-26,11,[ 11 ]  OCC,2748.02,38260,19.13,0,192811,146360,2644789,,
Fort Gillem,2017-12-26,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-17.86,0,0.0,0,192811,146360,2644789,,
Fort Gillem,2017-12-26,11,[ 11 ]  OCC,2625.92,36560,18.28,0,192811,146361,2644790,,
Fort Gillem,2017-12-26,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-35.3,0,0.0,0,192811,146361,2644790,,
Fort Gillem,2017-12-26,11,[ 11 ]  OCC,2996.54,41720,20.86,0,192811,146362,2644792,,
Fort Gillem,2017-12-26,11,[ 11 ]  OCC,2996.54,41720,20.86,0,192811,146363,2644793,,
Fort Gillem,2017-12-27,11,[ 11 ]  OCC,2526.8,35180,17.59,0,192811,146356,2644784,,
Fort Gillem,2017-12-27,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-49.47,0,0.0,0,192811,146356,2644784,,
Fort Gillem,2017-12-27,11,[ 11 ]  OCC,2781.06,38720,19.36,0,192811,146365,2644795,,
Fort Gillem,2017-12-27,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-13.14,0,0.0,0,192811,146365,2644795,,
Fort Gillem,2017-12-27,11,[ 11 ]  OCC,2956.32,41160,20.58,0,192811,146368,2644803,,
Fort Gillem,2017-12-27,11,[ 11 ]  OCC,2748.02,38260,19.13,0,192811,146369,2644805,,
Fort Gillem,2017-12-27,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-17.88,0,0.0,0,192811,146369,2644805,,
Fort Gillem,2017-12-27,11,[ 11 ]  OCC,2625.92,36560,18.28,0,192811,146556,2644799,,
Fort Gillem,2017-12-27,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-35.3,0,0.0,0,192811,146556,2644799,,
Fort Gillem,2017-12-28,11,[ 11 ]  OCC,2087.23,29060,14.53,0,192811,146353,2644780,,
Fort Gillem,2017-12-28,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-112.28,0,0.0,0,192811,146353,2644780,,
Fort Gillem,2017-12-28,11,[ 11 ]  OCC,2709.24,37720,18.86,0,192811,146354,2644782,,
Fort Gillem,2017-12-28,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-23.4,0,0.0,0,192811,146354,2644782,,
Fort Gillem,2017-12-28,11,[ 11 ]  OCC,2883.06,40140,20.07,0,192811,146355,2644783,,
Fort Gillem,2017-12-28,11,[ 11 ]  OCC,2749.46,38280,19.14,0,192811,146367,2644801,,
Fort Gillem,2017-12-28,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-17.65,0,0.0,0,192811,146367,2644801,,
Fort Gillem,2017-12-28,11,[ 11 ]  OCC,2581.39,35940,17.97,0,192811,146370,2644806,,
Fort Gillem,2017-12-28,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-41.67,0,0.0,0,192811,146370,2644806,,
Fort Gillem,2017-12-29,11,[ 11 ]  OCC,2578.52,35900,17.95,0,192811,146352,AU12176879,,
Fort Gillem,2017-12-29,11,[ 11 ]  OCC,2702.06,37620,18.81,0,192811,146557,2644800,,
Fort Gillem,2017-12-29,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-24.43,0,0.0,0,192811,146557,2644800,,
Fort Gillem,2017-12-29,11,[ 11 ]  OCC,2611.56,36360,18.18,0,192811,146664,2690433,,
Fort Gillem,2017-12-29,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-37.36,0,0.0,0,192811,146664,2690433,,
