Location,Date,Division,Grade,Pounds,Tons,Units,Check_Num,Receipt,Invoice,Notes,Filename
Fort Gillem,3/17/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137109,2150609,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/17/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137111,2150611,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/17/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137122,AU03178503,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/17/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137127,2155435,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/17/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137128,2155436,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/18/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137097,AU03178428,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/18/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137110,2150610,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/18/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137115,2150615,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/19/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137098,AU03178429,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/20/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137112,2150612,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/20/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137113,2150613,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/21/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137103,AU03178434,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/21/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137114,2150614,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/21/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137129,2155437,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/21/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137137,AU03178674,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/21/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137138,AU03178676,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/21/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137139,AU03178681,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/21/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137226,AU03178437,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/21/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137240,2159992,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/21/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137241,2159993,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/21/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137242,2159994,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/21/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137259,AU03178675,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/21/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137260,AU03178677,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/21/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137261,AU03178678,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/21/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137263,AU03178680,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/21/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137264,AU03178682,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/22/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137265,AU03178683,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/22/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137284,AU03178769,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/22/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137285,AU03178770,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/22/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137429,2159995,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/22/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137430,2159996,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
Fort Gillem,3/23/2017,11,[ 935 ]  FREIGHT OUT CHARGEBACK,0,0,,164131,137286,AU03178771,,baled_pmt_detail/Caraustar/011 Caraustar/done/Caraustar Ft Gillem 4 30 17 payment.xls
