010,RIVERSIDE                     ,1500 EASTRIDGE AVE                 ,RIVERSIDE-- CA 92507                ,5225 Canyon Crest Dr-- Riverside-- CA 92507,703,609
011,ATLANTA                       ,2000 ANVIL BLOCK RD                ,FOREST PARK-- GA. 30297             ,5664 Jonesboro Rd-- Lake City-- GA 30260,11,492
014,CINCINNATI                    ,98 GLENDALE-MILFORD RD.            ,CINCINNATI-- OH. 45215              ,10595 Springfield Pike-- Cincinnati-- OH 45215,14,433
015,PUYALLUP                      ,2200 N. MERIDIAN                   ,PUYALLUP WA 98371                  ,1100 N Meridian-- Puyallup-- WA 98371,701,265
016,COLUMBUS                      ,2000 NUTTER FRMS DELAWARE-- OH 43015,COLUMBUS-- OH. 43213                ,1840 Columbus Pike-- Delaware-- OH 43015,16,857
018,MICHIGAN CHESTERFIELD         ,26090 23 MIL RD                    ,NEW BALTIMORE  MI                  ,35000 23 Mile Rd-- New Baltimore-- MI 48047,16,724
019,LAYTON SMITHS                 ,500 SUGAR STREET                   ,LAYTON-- UT 84041                   ,1170 E Gentile St-- Layton-- UT 84040,706,149
021,CENTRAL                       ,7025 ENGLISH AVE.                  ,INDIANAPOLIS-- IN. 46219            ,10450 E Washington St-- Indianapolis-- IN 46229,21,945
022,CLACKAMAS                     ,11506 SE HWY. 212                  ,CLACKAMAS-- OR 97015                ,16301 SE 82nd Dr-- Clackamas-- OR 97015,701,63
023,DELTA-MEMPHIS-- TN.            ,5079 BLEDSOE RD.                   ,MEMPHIS TN. 38141                  ,4770 Riverdale Rd-- Memphis-- TN 38141,25,401
024,LOUISVILLE                    ,2000 NELSON MILLER PRKW            ,LOUISVILLE-- KY. 40223              , 12450 La Grange Rd-- Louisville-- KY 40245,24,739
027,PARAMOUNT                     ,                                   ,                                   ,,,
028,TOLLESON                      ,500 S. 99TH AVE.                   ,TOLLESON-- AZ 85353                 ,11425 W Buckeye Rd-- Avondale-- AZ 85323,660,89
029,MID-ATLANTIC                  ,3800 Garman Rd-- Salem-- VA 24153, ,161 Electric Rd-- Salem-- VA 24153,29,330
030,RALPHS COMPTON                ,                                   ,COMPTON-- CA                        ,,,
034,HOUSTON                       ,701 GELLHORN DR.                   ,HOUSTON-- TX. 77029                 ,12620 Woodforest Blvd-- Houston-- TX 77015,34,331
035,DALLAS                        ,100 KROGER DR.                     ,KELLER-- TX. 76548                  ,5241 N Tarrant Pkwy-- Fort Worth-- TX 76244,34,532
036,DILLON                        ,2700 E 4TH ST.                     ,HUTCHINSON-- KS.67501-1903          ,725 E 4th Ave-- Hutchinson-- KS 67501,615,10
037,CHEHALIS                      ,222 MAURIN ROAD                    ,CHEHALIS-- WA 98532                 ,,,
038,KING SOOPERS                  ,1933 Tower Rd-- Aurora-- CO 80011,Aurora-- CO 80011,15109 E Colfax Ave-- Aurora-- CO 80011,620,652
086,PEYTON MID-SOUTH              ,120 KIRBY DR.                      ,PORTLAND-- TN. 37148-2003           ,N/A,,
087,PEYTON SE                     ,REFRESHMENT LN.APPALACHIAN PK.     ,CLEVELAND-- TN. 37311               ,N/A,,
090,RULER FOOD STORES             ,900 A AVENUE                       ,SEYMOUR-- IN 47274                  ,N/A,,
091,MT. ZION                      ,251 E  MT. ZION RD                 ,FLORENCE-- KY 41042                 ,9950 Berberich Dr-- Florence-- KY 41042,14,364
093,OCONOMOWOC                    ,1120 E. DISTRIBUTION CT            ,OCONOMOWOC-- WI 53066               ,1300 Pabst Farms Cir-- Oconomowoc-- WI 53066,534,907
094,MAZOMANIE                     ,400 WALTER ST.                     ,MAZOMANIE-- WI 53560                ,?,,
097,GREENSBORO                    ,200 DISTRIBUTION CENTER            ,GREENSBORO-- NC 27410               ,1605 New Garden Rd-- Greensboro-- NC 27410,,
098,INDIAN TRAIL                  ,6001 HIGHWAY 74                    ,INDIAN TRAIL-- NC 28079             ,6610 Old Monroe Rd-- Indian Trail-- NC 28079,,
181,PEYTON NORTHERN               ,1111 S.100 EAST                    ,BLUFFTON-- IN. 46714                ,N/A,,
185,PEYTON BUCKEYE                ,BUCKEYE & 51ST                     ,PHOENIX-- AZ                        ,N/A,,
189,DILLON WESTERN DIST/GODDARD   ,21999 WEST HIGHWAY 54              ,GODDARD-- KANSAS 67052              ,N/A,,
388,PEYTON FOUNTAIN               ,11025 CHARTER OAK RANCH ROAD       ,FOUNTAIN-- CO. 80817                ,N/A,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
